Resource_Type,Framework,Name,Use_When,Subject_Line,Content,Notes_Why_It_Works,Industry,Contributor
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"Past Customer | Wesley Tidwell, Hospital CEO (Baylor Scott & White) - role chang",,,"Hi Wesley, Congrats on the move over to Baylor Scott & White! I noticed your experience at Ascension and figured you may already be familiar with Qualtrics? I support the BSW + Qualtrics relationship - my team and I would love to connect with you to discuss your initiatives and share some ways we are working with other Hospital Executives in improving patient experience, satisfaction, outcomes, etc. Would you have a few minutes to connect, possibly towards the end of the month? Let me know, Mikaila",,Healthcare,Mikaila Corrigan
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Past Customer (LinkedIn) | Benjamin Tingey, Director of Innovation (Advocate Hea",,,"Hi Benjamin, thanks for connecting! Noticed you are local to the SLC area and previously worked at Intermountain - I figured you may already be familiar with Qualtrics? Seeing your role over Innovation, our leadership was hoping to connect with you to understand your initiatives and share some modernization strategies we are using with other healthcare leaders in optimizing patient experiences and care. Could we find a few minutes to connect, either the first or second week of May? Let me know what your availability is like, Mikaila",,Healthcare,Mikaila Corrigan
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Past Customer | Archie Dey, Director of CX & Insights - prior PwC exposure + CAH",,,"Hi Subhayu, We haven't had the chance to connect, you might remember Qualtrics from your time at PwC. I'm reaching out to connect with you on some of the work we are doing with Humana, Centene, UHG, and 75% of the Blues for their experience programs. Our platform identifies the why behind your CAHPS scores, allowing for targeted actions that directly influence your Star ratings. Given your background, I'm confident you'll be interested in some of the modern strategies. Would you have a few minutes next week to connect? Kevin J. Cull",,Healthcare,Kevin Cull
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),Past Customer | Joe (Elanco) - prior CHN exposure + L&D tools,,,"Hi Joe, Happy new year! I understand you worked closely with Qualtrics at CHN -- such an awesome team there. Given our partnership with Elanco, and some of your responsibilities in your role now, I'd love to connect with you with the team here that supports Elanco. We've had some updates in regards to L&D tools as well, that you may find interesting. Let me know what you think, and in the meantime, here is our recently released 2024 Employee Experience Trends report! Thanks, Haley Laufketter",,Life Sciences,Haley Laufketter
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Past Customer | Matthew Jesso, Director of System Quality & Performance Improvem",,,"Hi Matthew, We haven't had the chance to meet yet, but I thought you might have worked with some of my colleagues on projects at Carilion Clinic with Doug Crowder. We work with his team on organizational development projects. My colleague Michael and I manage the relationship between Qualtrics and Guthrie. We'd love to meet you and learn more about your initiatives to improve clinical outcomes (Quality, safety, talent development, etc.) If you're open to it, I can send over some times for next week. Looking forward to connecting! Lisa Hines",,Healthcare,Lisa Hines
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"New to Role | Becca Judy, COO (Evergreen Treatment Services) - promotion + prior",,,"Congrats on your promotion as COO at Evergreen Treatment Services. It's clear that your dedication as CTO has paid off! We haven't met yet, but my name is Sophia and I assist the Evergreen Treatment Services + Qualtrics relationship alongside Levi Nation. You may be familiar with us as we previously worked with Pioneer Human Services from 2018-2019, and I noticed you worked there on LinkedIn. I'd be happy to share some resources about our EX and PX platforms. We'd love to connect at a time that works best for you. Let me know, Sophia",,Healthcare,Sophia del Rosario
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"New to Role (LinkedIn) | Will Knous, Director of Marketing & Communications (Sci",,,"Hi Will - thanks for connecting with me and congrats on the new role at Scion! I help support the Scion + Qualtrics relationship. Given your new role, my team and I would love to connect to learn more about your initiatives and share some strategies we are using with other marketing leaders to better understand patient needs and align marketing campaigns with patient interests. Let me know if you have a few minutes to connect, either next week or the following!",,Healthcare,Mikaila Corrigan
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"New to Role | Kevin Spera, Chief Experience Officer (MUSC) - role change + prior",,,"Hi Kevin, Congrats on the move over to MUSC! I hope the past few months have gone well with settling in to your new role. Knowing you formerly worked with Emily Clarke and Tyler Holyfield during your time at Baylor Scott & White, I wanted to reach out on behalf of the MUSC + Qualtrics team. We'd love to connect to gain your perspective on patient experience at MUSC and share some product & partnership updates on our end as well. Could we find a few minutes to connect, possibly towards the end of the month? Happy to coordinate with your admin as well. Mikaila",,Healthcare,Mikaila Corrigan
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"New to Role | Tripp Lyes, Chief Strategy Officer (Tenet Healthcare) - CMO connec",,,"Hi Tripp, Major congrats on the new role! I understand you're likely still getting settled in, but wanted to reach out in regard to your connection with our CMO, Dr. Boissy. Happy to share how she's helping other Strategy leaders modernize their patient experience programs by going beyond surveys and driving a system of action. Paul and I lead the Tenet Healthcare -- Qualtrics relationship and are happy to connect at a time that works best for you. Let me know! Kamryn Terch",,Healthcare,Kamryn Terch
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"New to Role | Michael Mann, Director of Contact Center - new role, new POC (repl",,,"Hi Michael, Major congrats on the new role! I understand you're likely still getting settled in, but wanted to reach out to introduce Mike and I as an available resource/POC. Happy to share how we're helping other Contact Center leaders improve the call center experience for both agents and patients. Would love to connect later this month/early next. Let me know what'd work best! Kamryn Terch",,Healthcare,Kamryn Terch
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"New to Role (LinkedIn) | Jim Economou, VP of Patient Access Contact Centers - pr",,,"Hi Jim! I've sent a couple of emails your way, but wanted to congratulate you on your recent promotion. I'm not sure if you're familiar with Qualtrics (or even Clarabridge), but we're working with many of your peers to improve the access/scheduling experience for patients. Essentially, we're helping them track root issues on all calls to better understand why patients are calling into schedule. From there, we're providing them with actions to take to increase deflection to self-service options and make online scheduling a more seamless process for their patients. Curious, would you be open to somewhat of a strategic conversation and sharing of thought leadership? Would love to gain your perspective on access.",,Healthcare,Kamryn Terch
